sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
S0050,10,34577,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,1.034212,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-1.150597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224889,0.000000,0.000000,0.000000,0.157701,0.000000,0.119636,0.000000,0.000000,0.000000,0.000000,0.260254,0.237520,0.000000,0.000000,0.000000,0.000000,0.000000,0.642491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0050,11,37155,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,0.000000,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.994140,-2.301193,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.294944,0.000000,0.000000,0.000000,0.206826,0.000000,0.156904,0.000000,0.000000,0.000000,0.000000,0.341325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.213043,0.000000,0.000000,0.404091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0050,12,39727,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,-1.034212,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-2.301193,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.294944,0.000000,0.000000,0.000000,0.206827,0.000000,0.156904,0.000000,0.000000,0.000000,0.000000,0.341326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.642491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0050,13,42289,0.837885,0.979216,0.000000,0.000000,0.000000,1.373331,-0.551743,0.520921,0.446913,0.000000,0.000000,0.000000,2.266403,1.034212,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-2.301193,0.000000,0.000000,0.000000,-0.806348,0.000000,0.112334,0.131282,0.000000,0.000000,0.000000,0.184120,0.000000,0.069839,0.059917,0.000000,0.000000,0.000000,0.303853,0.138655,0.000000,0.000000,0.000000,0.000000,0.000000,0.642491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0050,14,44850,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,0.000000,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-2.301193,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.294944,0.000000,0.000000,0.000000,0.206827,0.000000,0.156904,0.000000,0.000000,0.000000,0.000000,0.341326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.642491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0050,15,47432,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,-1.034212,0.000000,0.000000,0.000000,0.000000,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-1.150597,0.000000,0.000000,-0.812244,-0.806348,0.000000,0.000000,0.294944,0.000000,0.000000,0.000000,0.206827,0.000000,0.156904,0.000000,0.000000,0.000000,0.000000,0.341326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.642491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0050,16,50103,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,0.446913,0.000000,0.000000,0.000000,1.133202,1.034212,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-1.150597,1.009565,0.000000,0.000000,-0.806348,0.000000,0.000000,0.203955,0.000000,0.000000,0.000000,0.143022,0.000000,0.108500,0.093085,0.000000,0.000000,0.000000,0.236028,0.215410,0.000000,0.000000,0.000000,0.000000,0.000000,0.380481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211715,0.000000,0.000000,0.000000,0.000000,0.407804,0.000000,0.000000,0.000000,0.000000
S0050,17,52642,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,1.034212,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-2.301193,1.009564,0.000000,-0.812244,-0.806348,0.000000,0.000000,0.224889,0.000000,0.000000,0.000000,0.157701,0.000000,0.119636,0.000000,0.000000,0.000000,0.000000,0.260254,0.237520,0.000000,0.000000,0.000000,0.000000,0.000000,0.380481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211715,0.000000,0.000000,0.000000,0.000000,0.407804,0.000000,0.000000,0.000000,0.000000
S0050,18,55274,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,-1.034212,0.000000,0.000000,0.000000,0.000000,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-1.150597,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.294944,0.000000,0.000000,0.000000,0.206827,0.000000,0.156904,0.000000,0.000000,0.000000,0.000000,0.341326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.642491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0050,19,57907,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,0.000000,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.994140,-1.150597,0.000000,0.000000,-0.812244,-0.806348,0.000000,0.000000,0.294944,0.000000,0.000000,0.000000,0.206827,0.000000,0.156904,0.000000,0.000000,0.000000,0.000000,0.341326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.213043,0.000000,0.000000,0.404091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
